tracker.open.cd         后/十二大
tracker.m-team.cc       馒头/十二大
on.springsunday.net     不可说/十二大
tracker.ptchdbits.co    CHDbits - 彩虹岛
tracker.rainbowisland.co    CHDbits - 彩虹岛
chdbits.xyz             CHDbits - 彩虹岛
t.hdhome.org            HDHome - 家园
tracker.hhanclub.net    憨憨/十二大
tracker.hdsky.me        空/十二大
ourbits.club            我堡/ob/十二大
tracker.pterclub.net    猫/十二大
tracker.keepfrds.com    月月/十二大
tracker.totheglory.im   听听歌/十二大
t.audiences.me          观众/十二大
tracker.cinefiles.info  观众/十二大
t.ubits.club            UB
tracker.qingwapt.org    青蛙
tracker.qingwapt.com    青蛙
tracker.qingwa.pro      青蛙
crabpt.vip              蟹黄堡
tracker.agsvpt.cn       末日
www.nicept.net          老师
sewerpt.com             下水道
www.pttime.org          PTTime
tracker.ptcafe.club     咖啡
ptfans.cc               PTFans
t.hddolby.com           杜比
tracker.hdtime.org      时光
tracker.piggo.me        猪猪
tracker.kame.gay        龟
kamept.com              龟
si-qi.xyz               思齐
discfan.net             蝶粉
ptzone.xyz              PTZONE
tracker.hdarea.club     好大
tracker.happyfappy.org  happyfappy
announce.haidan.video   海胆
announce.haidan.cc      海胆
zmpt.cc                 织梦
tracker.cspt.top        财神
tracker.cspt.cc         财神
tracker.cspt.date       财神
tracker.cyanbug.net     大青虫
ptsbao.club             烧包
jpopsuki.eu             鸡婆婆
tracker.luckpt.de       Lucky
t.pthome.org            铂金家
tracker.novahd.top      novahd
pt.lajidui.top          垃圾堆
cspt.top                财神
rousi.pro               肉丝
tracker.ptskit.org      拾刻
52pt.site               52PT
ptl.gs                  劳改所
relay01.ptl.gs          劳改所
bilibili.download       Railgun
cangbao.ge              藏宝阁
raingfh.top             雨
tracker.xingyungept.org 星陨阁
tracker.hdkyl.in        麒麟
www.hdkylin.top         麒麟
longpt.org              龙宝






